name,category,price,stock,rating,num_reviews
Laptop Pro,Electronics,45000,50,4.5,234
Wireless Mouse,Electronics,1500,120,4.2,156
Smartphone X,Electronics,35000,60,4.6,445
Jeans,Clothing,2500,150,4.3,198
Headphones,Electronics,3000,90,4.7,278
Data Science Handbook,Books,1200,65,4.9,145
Gaming Chair,Home,8000,25,4.4,234
Winter Jacket,Clothing,4500,85,4.2,167
Tablet Plus,Electronics,25000,55,4.1,389
Bluetooth Speaker,Electronics,5500,75,4.5,156
Smart Watch,Electronics,15000,40,4.3,412
Running Shoes,Clothing,3200,95,4.4,145
